id,episode,title,podcast_id,description,audiourl,created_at,published_on,updated_at,slug,status
,1,Episode 1,12,"Welcome back to the show!

We're back with Volume TWO, and podcasting about all things BOOM! Studios, Archaia, BOOM! Box, and KaBOOM! This episode we take a look back at 2016 and highlight some of our favorite books, look at some of the disappointments, and look forward to what's coming in 2017.

We announce out YEAR LONG contest in this episode so be sure to listen.",http://traffic.libsyn.com/comicaddict/BAv2001.mp3,2017-01-09 12:00:00,2017-01-09 12:00:00,2017-01-09 12:00:00,ba-1,Published
,2,Episode 2,12,"This episode Ed and Chris take a look at THE DEEP #1, JUSTICE LEAGUE / MIGHTY MORPHIN' POWER RANGERS #1, NAMESAKE #3, MEGA PRINCESS #3. The guys also look back and BOOM! Studios' past and talk about THE BLACK PLAGUE #1 and CYBORG 009 HC.",http://traffic.libsyn.com/comicaddict/BAv2002.mp3,2017-01-16 14:41:22.597274,2017-01-16 14:41:22.597274,2017-01-16 14:41:22.597274,ba-2,Published
,3,Episode 3,12,"This episode Ed and Chris take a look at MIGHTY MORPHIN POWER RANGERS #11, WWE #1, KONG OF SKULL ISLAND #7, SLAM! #4, and the new SNOW BLIND TPB.",http://traffic.libsyn.com/comicaddict/BAv2003.mp3,2017-01-24 11:15:36.97393,2017-01-24 11:15:36.97393,2017-01-24 11:15:36.97393,ba-3,Published
,5,Episode 5,12,"This episode we discuss the upcoming JIM HENSON'S THE DARK CRYSTAL TALES and the new comiXology digital exclusive series - EXPANSE from BOOM! Studios.

Diving in to new books, we discuss two great crossovers - PLANET OF THE APES/GREEN LANTERNS #1, and BIG TROUBLE IN LITTLE CHINA/ESCAPE FROM NEW YORK #5. Plus we get caught up on THE WOODS with issue #29.

Looking back, Ed talks about COVER GIRL #1-5.",http://traffic.libsyn.com/comicaddict/BAv2005.mp3,2017-02-06 14:53:46.574407,2017-02-06 14:53:46.574407,2017-02-06 14:53:46.574407,ba-5,Published
,6,Episode 6,12,"In the ""News"" segement we take a look at the LUMBERJANES novel announcement and the upcoming ""Fresh Off The Boat"" Free Comic Book Day comics.

In ""Reviews segment we take a look at DEATH BE DAMNED #1, NAMESAKE #4, and STORYTELLERS: GIANTS #3.

In our ""Throwback"" segement - Ed takes a look a DEAD RUN #1 from 2009.",http://traffic.libsyn.com/comicaddict/BAv2006.mp3,2017-02-14 03:48:56.93695,2017-02-14 03:48:56.93695,2017-02-14 03:48:56.93695,ba-6,Published
,7,Episode 7,12,"We open up with the announcement we're now part of the Nerdy Legion podcast family. You can check out ALL of the Nerdy Legion podcasts and www.nerdylegion.com!

In the ""News"" segement we talk a little about the GRASS KINGS music video, Victor LaValle's DESTROYER series coming to BOOM! Studios, and BOOM! Studios' logo in front of the upcoming EMPTY MAN movie.

We then dive into some comics talking about KONG OF SKULL ISLAND #8, MIGHTY MORPHIN' POWER RANGERS #12, THE DEEP #2, and WWE #2. 

And don't forget to listen for this month's contest code word. ",http://traffic.libsyn.com/comicaddict/BAv2006.mp3,2017-02-20 13:39:20.254917,2017-02-20 13:39:20.254917,2017-02-20 13:39:20.254917,ba-7,Published
,8,Episode 8,12,"This episode we dive into some roller debry talk as we look at LUMBERJANES #35 and SLAM! #4. We then take a trip to Thra and talk about THE POWER OF THE DARK CRYSTAL #1. And finally we look at one of our favorite series - JOYRIDE #10.

We hope you enjoy! Tell your friends, and don't forget to listen for this month's contest code word.",http://traffic.libsyn.com/comicaddict/BAv2008.mp3,2017-02-28 13:57:30.231839,2017-02-28 13:57:30.231839,2017-02-28 13:57:30.231839,ba-8,Published
,9,Episode 9,12,"We're back from a week long break and roaring to go with a brand new episode! This episode we discuss the launch of BRAVE CHEF BRIANNA #1, the conclusion to the crossover that everyone should have read with BIG TROUBLE IN LITTLE CHINA / ESCAPE FROM NEW YORK #6, the amazing debut of GRASS KINGS #1, and more fun sci-fi with PLANET OF THE APES / GREEN LANTERN #2. Ed continues his look back at DEAD RUN with Issue #2 in this episode's ""Throwback"" segment.

We hope you enjoy! Tell your friends, and don't forget to listen for this month's contest code word. ",http://traffic.libsyn.com/comicaddict/BAv2009.mp3,2017-03-13 00:07:21.065702,2017-03-13 00:07:21.065702,2017-03-13 00:07:21.065702,ba-9,Published
,10,Episode 10,12,"This episde we start off with all of the recent news from Cullen Bunn's new series THE UNSOUND to CLUELESS series to BILL & TED's new series!

The then dive into reviews of MIGHTY MORPHIN' POWER RANGERS #13, COADY AND THE CREEPIES #1, DEATH BE DAMNED #2, and THE DEEP #3.

We hope you enjoy! Tell your friends, and don't forget to listen for this month's contest code word. ",http://traffic.libsyn.com/comicaddict/BAv2010.mp3,2017-03-20 15:52:13.681147,2017-03-20 15:52:13.681147,2017-03-20 15:52:13.681147,ba-10,Published
,11,Episode 11,12,"This episode we catch up with some news from BOOM! Studios. We look back and WonderCon and the panels BOOM! Studios hosted. We get into the upcoming ""Terror of the Planet of the Apes"" archive collection that is coming in August. 

We then spend some time looking at WWE #3, LUMBERJANES #36, JOYRIDE #11, and BACKSTAGGERS #8.

We hope you enjoy! Tell your friends, and don't forget to listen for this month's contest code word. ",http://traffic.libsyn.com/comicaddict/BAv2011.mp3,2017-04-04 19:06:56.784173,2017-04-04 19:06:56.784173,2017-04-04 19:06:56.784173,ba-11,Published
,12,Episode 12,12,"This episode quickly dives into the obscure as Ed learns all about Chris's NASCAR past. After that things get back on track and the guys dive into the news about some upcoming titles now that solicitations are available online. And then - REVIEWS!

We hope you enjoy! Tell your friends, and don't forget to listen for this month's contest code word. 

Don't forget to check out Ed's recommendation, Daddy Mojo's all-ages podcast for some for some additional BOOM! Studios love - https://www.podomatic.com/podcasts/daddymojo",http://traffic.libsyn.com/comicaddict/BAv2012.mp3,2017-04-24 00:45:34.515307,2017-04-24 00:45:34.515307,2017-04-24 00:45:34.515307,ba-12,Published
,13,Episode 13,12,"This episode we dive right into reviews and talk about JOYRIDE #12, THE EXPANSE ORIGINS #2, LUMBERJANES #37, and WWE #4.

Don't forget about getting entered into the contest! There's a new code word in this episode.",http://traffic.libsyn.com/comicaddict/BAv2013.mp3,2017-05-02 15:30:35.398502,2017-05-02 15:30:35.398502,2017-05-02 15:30:35.398502,ba-13,Published
